0 [11, 9, 3, 7, 0, 2, 6, 4, 10, 1, 5, 8]
b [11, 0, 3, 7, 9, 2, 6, 4, 10, 1, 5, 8]
f [11, 2, 3, 7, 9, 0, 6, 4, 10, 1, 5, 8]
g [11, 2, 3, 7, 9, 6, 0, 4, 10, 1, 5, 8]
d [11, 2, 3, 0, 9, 6, 7, 4, 10, 1, 5, 8]
h [11, 2, 3, 4, 9, 6, 7, 0, 10, 1, 5, 8]
l [11, 2, 3, 4, 9, 6, 7, 8, 10, 1, 5, 0]
k [11, 2, 3, 4, 9, 6, 7, 8, 10, 1, 0, 5]
j [11, 2, 3, 4, 9, 6, 7, 8, 10, 0, 1, 5]
i [11, 2, 3, 4, 9, 6, 7, 8, 0, 10, 1, 5]
e [11, 2, 3, 4, 0, 6, 7, 8, 9, 10, 1, 5]
f [11, 2, 3, 4, 6, 0, 7, 8, 9, 10, 1, 5]
k [11, 2, 3, 4, 6, 1, 7, 8, 9, 10, 0, 5]
j [11, 2, 3, 4, 6, 1, 7, 8, 9, 0, 10, 5]
f [11, 2, 3, 4, 6, 0, 7, 8, 9, 1, 10, 5]
e [11, 2, 3, 4, 0, 6, 7, 8, 9, 1, 10, 5]
j [11, 2, 3, 4, 1, 6, 7, 8, 9, 0, 10, 5]
k [11, 2, 3, 4, 1, 6, 7, 8, 9, 10, 0, 5]
f [11, 2, 3, 4, 1, 0, 7, 8, 9, 10, 6, 5]
a [0, 2, 3, 4, 1, 11, 7, 8, 9, 10, 6, 5]
e [1, 2, 3, 4, 0, 11, 7, 8, 9, 10, 6, 5]
f [1, 2, 3, 4, 11, 0, 7, 8, 9, 10, 6, 5]
k [1, 2, 3, 4, 11, 6, 7, 8, 9, 10, 0, 5]
g [1, 2, 3, 4, 11, 6, 0, 8, 9, 10, 7, 5]
l [1, 2, 3, 4, 11, 6, 5, 8, 9, 10, 7, 0]
k [1, 2, 3, 4, 11, 6, 5, 8, 9, 10, 0, 7]
j [1, 2, 3, 4, 11, 6, 5, 8, 9, 0, 10, 7]
g [1, 2, 3, 4, 11, 6, 0, 8, 9, 5, 10, 7]
l [1, 2, 3, 4, 11, 6, 7, 8, 9, 5, 10, 0]
k [1, 2, 3, 4, 11, 6, 7, 8, 9, 5, 0, 10]
f [1, 2, 3, 4, 11, 0, 7, 8, 9, 5, 6, 10]
e [1, 2, 3, 4, 0, 11, 7, 8, 9, 5, 6, 10]
j [1, 2, 3, 4, 5, 11, 7, 8, 9, 0, 6, 10]
f [1, 2, 3, 4, 5, 0, 7, 8, 9, 11, 6, 10]
k [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 0, 10]
g [1, 2, 3, 4, 5, 6, 0, 8, 9, 11, 7, 10]
l [1, 2, 3, 4, 5, 6, 10, 8, 9, 11, 7, 0]
k [1, 2, 3, 4, 5, 6, 10, 8, 9, 11, 0, 7]
j [1, 2, 3, 4, 5, 6, 10, 8, 9, 0, 11, 7]
g [1, 2, 3, 4, 5, 6, 0, 8, 9, 10, 11, 7]
l [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
